Date,Region_Name,Area_Code,Average_Price_SA
1998-05-01,North West,E12000002,47517.76971
1998-05-01,London,E12000007,100240.7212
1998-05-01,South East,E12000008,83858.67165
1998-05-01,East Midlands,E12000004,51707.50819
1998-05-01,England and Wales,K04000001,62812.07992
1998-06-01,England,E92000001,63906.99771
1998-06-01,Wales,W92000004,47361.92763
1998-06-01,South East,E12000008,84342.36735
1998-06-01,South West,E12000009,66180.78926
1998-06-01,North East,E12000001,44531.02127
1998-06-01,West Midlands Region,E12000005,56635.52266
1998-06-01,North West,E12000002,47337.31861
1998-06-01,London,E12000007,101881.4277
1998-06-01,Yorkshire and The Humber,E12000003,46644.07944
1998-06-01,East Midlands,E12000004,51808.46843
1998-06-01,East of England,E12000006,69621.22325
1998-06-01,England and Wales,K04000001,62999.60692
1998-07-01,England,E92000001,64247.55835
1998-07-01,Wales,W92000004,47458.54074
1998-07-01,South East,E12000008,84946.51057
1998-07-01,East Midlands,E12000004,51783.73095
1998-07-01,Yorkshire and The Humber,E12000003,47233.86742
1998-07-01,South West,E12000009,67528.79201
1998-07-01,East of England,E12000006,69775.4989
1998-07-01,North West,E12000002,47407.39697
1998-07-01,North East,E12000001,44165.2406
1998-07-01,London,E12000007,102258.0492
1998-07-01,West Midlands Region,E12000005,56822.82272
1998-07-01,England and Wales,K04000001,63325.86814
1998-08-01,England,E92000001,64316.66227
1998-08-01,Wales,W92000004,47585.7191
1998-08-01,East Midlands,E12000004,52080.69086
1998-08-01,North West,E12000002,46987.07549
1998-08-01,London,E12000007,102316.2186
1998-08-01,South East,E12000008,85311.19647
1998-08-01,South West,E12000009,67382.26818
1998-08-01,North East,E12000001,44755.68148
1998-08-01,Yorkshire and The Humber,E12000003,47251.87793
1998-08-01,West Midlands Region,E12000005,56925.98091
1998-08-01,East of England,E12000006,69823.9269
1998-08-01,England and Wales,K04000001,63386.89244
1998-09-01,Wales,W92000004,47657.46031
1998-09-01,England,E92000001,64463.17043
1998-09-01,London,E12000007,102906.0286
1998-09-01,South West,E12000009,66849.26342
1998-09-01,South East,E12000008,85695.3795
1998-09-01,West Midlands Region,E12000005,56989.67739
1998-09-01,North East,E12000001,45394.90844
1998-09-01,East of England,E12000006,70543.38249
1998-09-01,North West,E12000002,47259.83536
1998-09-01,East Midlands,E12000004,52174.61328
1998-09-01,Yorkshire and The Humber,E12000003,46953.66009
1998-09-01,England and Wales,K04000001,63528.98811
1998-10-01,Wales,W92000004,47765.10435
1998-10-01,England,E92000001,64812.80603
1998-10-01,London,E12000007,103957.9474
1998-10-01,Yorkshire and The Humber,E12000003,47550.8022
1998-10-01,West Midlands Region,E12000005,57292.84533
1998-10-01,East Midlands,E12000004,52419.39784
1998-10-01,North West,E12000002,47447.37204
1998-10-01,East of England,E12000006,71148.97262
1998-10-01,South East,E12000008,86013.1842
1998-10-01,South West,E12000009,67354.69485
1998-10-01,North East,E12000001,44576.09476
1998-10-01,England and Wales,K04000001,63860.62686
1998-11-01,England,E92000001,64764.20906
1998-11-01,Wales,W92000004,47217.27855
1998-11-01,London,E12000007,104156.8628
1998-11-01,Yorkshire and The Humber,E12000003,46393.09187
1998-11-01,North East,E12000001,44613.48096
1998-11-01,South West,E12000009,68071.57979
1998-11-01,South East,E12000008,86478.42236
1998-11-01,North West,E12000002,47508.13028
1998-11-01,East of England,E12000006,70904.40916
1998-11-01,East Midlands,E12000004,51934.43579
1998-11-01,West Midlands Region,E12000005,57204.68943
1998-11-01,England and Wales,K04000001,63818.75356
1998-12-01,Wales,W92000004,48292.85688
1998-12-01,England,E92000001,65213.4127
1998-12-01,London,E12000007,104904.5418
1998-12-01,East of England,E12000006,70877.06841
1998-12-01,South West,E12000009,68473.53913
1998-12-01,South East,E12000008,86506.81255
1998-12-01,East Midlands,E12000004,52602.96096
1998-12-01,North East,E12000001,44968.6729
1998-12-01,West Midlands Region,E12000005,57379.18004
1998-12-01,Yorkshire and The Humber,E12000003,47385.57119
1998-12-01,North West,E12000002,47793.12235
1998-12-01,England and Wales,K04000001,64322.32812
1999-01-01,Wales,W92000004,49120.25415
1999-01-01,England,E92000001,66057.9023
1999-01-01,West Midlands Region,E12000005,58568.15952
1999-01-01,South East,E12000008,87889.77799
1999-01-01,London,E12000007,105514.1532
1999-01-01,South West,E12000009,69779.41429
1999-01-01,North West,E12000002,47838.87331
1999-01-01,Yorkshire and The Humber,E12000003,47546.28339
1999-01-01,East Midlands,E12000004,53187.86434
1999-01-01,North East,E12000001,45189.87681
1999-01-01,East of England,E12000006,72168.86431
1999-01-01,England and Wales,K04000001,65149.59059
1999-02-01,Wales,W92000004,48920.46727
1999-02-01,England,E92000001,66485.06505
1999-02-01,South West,E12000009,70230.06588
1999-02-01,Yorkshire and The Humber,E12000003,47724.8353
1999-02-01,London,E12000007,106502.2376
1999-02-01,North East,E12000001,44388.32536
1999-02-01,South East,E12000008,88689.76187
1999-02-01,East of England,E12000006,72787.43095
1999-02-01,East Midlands,E12000004,53028.87679
1999-02-01,North West,E12000002,48150.76368
1999-02-01,West Midlands Region,E12000005,58173.64522
1999-02-01,England and Wales,K04000001,65475.38288
1999-03-01,England,E92000001,67015.59598
1999-03-01,Wales,W92000004,48650.72111
